week_start,source,skill,job_count
2026-06-22,itviec,Automation Test,1
2026-06-22,itviec,Azure,3
2026-06-22,itviec,Big Data,2
2026-06-22,itviec,C#,1
2026-06-22,itviec,CI/CD,1
2026-06-22,itviec,CSS,1
2026-06-22,itviec,Cloud,3
2026-06-22,itviec,Computer Vision,1
2026-06-22,itviec,DBA,1
2026-06-22,itviec,Data Analysis,3
2026-06-22,itviec,Data Engineer,1
2026-06-22,itviec,Data Science,1
2026-06-22,itviec,Database,3
2026-06-22,itviec,DevOps,1
2026-06-22,itviec,Django,2
2026-06-22,itviec,Docker,5
2026-06-22,itviec,ETL,1
2026-06-22,itviec,English,5
2026-06-22,itviec,FastAPI,1
2026-06-22,itviec,Fullstack,1
2026-06-22,itviec,GCP,6
2026-06-22,itviec,Git,1
2026-06-22,itviec,Go,2
2026-06-22,itviec,Governance,1
2026-06-22,itviec,HTML,3
2026-06-22,itviec,IT Audit,1
2026-06-22,itviec,IT Governance,1
2026-06-22,itviec,IT Support,1
2026-06-22,itviec,JSON,1
2026-06-22,itviec,Java,8
2026-06-22,itviec,JavaScript,3
2026-06-22,itviec,Jira,1
2026-06-22,itviec,Kafka,3
2026-06-22,itviec,Kotlin,2
2026-06-22,itviec,Kubernetes,3
2026-06-22,itviec,LLM,2
2026-06-22,itviec,Leadership,1
2026-06-22,itviec,Machine Learning,2
2026-06-22,itviec,MySQL,1
2026-06-22,itviec,NLP,1
2026-06-22,itviec,NoSQL,1
2026-06-22,itviec,Node.js,4
2026-06-22,itviec,Oracle,2
2026-06-22,itviec,PHP,1
2026-06-22,itviec,Pandas,1
2026-06-22,itviec,PostgreSQL,3
2026-06-22,itviec,Power Automate,1
2026-06-22,itviec,Power BI,2
2026-06-22,itviec,Prompt Engineering,1
2026-06-22,itviec,Python,23
2026-06-22,itviec,QA,2
2026-06-22,itviec,QA QC,1
2026-06-22,itviec,R,1
2026-06-22,itviec,React,3
2026-06-22,itviec,Redis,1
2026-06-22,itviec,Risk & Compliance,1
2026-06-22,itviec,Risk Management,2
2026-06-22,itviec,Rust,1
2026-06-22,itviec,SQL,9
2026-06-22,itviec,Security,1
2026-06-22,itviec,Software Architecture,1
2026-06-22,itviec,Spark,1
2026-06-22,itviec,Spring Boot,1
2026-06-22,itviec,System Architecture,1
2026-06-22,itviec,Tester,1
2026-06-22,itviec,TypeScript,1
2026-06-22,itviec,VBA,2
2026-06-22,itviec,Vue,1
2026-06-22,itviec,iOS,1
2026-06-22,topcv,(unknown),9
2026-06-22,topcv,.NET,4
2026-06-22,topcv,0-day vulnerabilities,1
2026-06-22,topcv,AI,2
2026-06-22,topcv,AI Agents,1
2026-06-22,topcv,AI Services (OpenAI,1
2026-06-22,topcv,ASP,1
2026-06-22,topcv,AWS,4
2026-06-22,topcv,Agile,1
2026-06-22,topcv,Agile Development,1
2026-06-22,topcv,Android,3
2026-06-22,topcv,Application Security,1
2026-06-22,topcv,Authentication,1
2026-06-22,topcv,Authorization,1
2026-06-22,topcv,AutoCAD,1
2026-06-22,topcv,Automation Test,1
2026-06-22,topcv,Azure,3
2026-06-22,topcv,Azure AI),1
2026-06-22,topcv,Bash,1
2026-06-22,topcv,Bootstrap,1
2026-06-22,topcv,C#,5
2026-06-22,topcv,CEH,1
2026-06-22,topcv,CI/CD,3
2026-06-22,topcv,CI/CD security,1
2026-06-22,topcv,CSDL,1
2026-06-22,topcv,CSS3,2
2026-06-22,topcv,CTF competitions,1
2026-06-22,topcv,Cache,1
2026-06-22,topcv,ChatGPT API,1
2026-06-22,topcv,Civil 3d,1
2026-06-22,topcv,Clean Architecture,1
2026-06-22,topcv,Cloud,1
2026-06-22,topcv,Cloud Computing (aws,1
2026-06-22,topcv,Cloud environments (AWS,1
2026-06-22,topcv,Communication,1
2026-06-22,topcv,Comunication English,1
2026-06-22,topcv,Css,2
2026-06-22,topcv,Cấu Trúc Dữ Liệu,1
2026-06-22,topcv,DAST,1
2026-06-22,topcv,Data,1
2026-06-22,topcv,Data Structures And Algorithms,1
2026-06-22,topcv,Database,1
2026-06-22,topcv,Database SQL,1
2026-06-22,topcv,Databases (sql,1
2026-06-22,topcv,DevOps,1
2026-06-22,topcv,DevSecOps,1
2026-06-22,topcv,Devops,1
2026-06-22,topcv,Django,1
2026-06-22,topcv,Docker,3
2026-06-22,topcv,EDR,1
2026-06-22,topcv,ERP,1
2026-06-22,topcv,ES6,1
2026-06-22,topcv,Elasticsearch),1
2026-06-22,topcv,Emo,1
2026-06-22,topcv,English,1
2026-06-22,topcv,Fintech,1
2026-06-22,topcv,Flutter,1
2026-06-22,topcv,Frontend Technologies (html,1
2026-06-22,topcv,GCP,2
2026-06-22,topcv,GCP),1
2026-06-22,topcv,Gcp),1
2026-06-22,topcv,Giao tiếp,2
2026-06-22,topcv,Git,4
2026-06-22,topcv,Github,1
2026-06-22,topcv,Giải quyết vấn đề,1
2026-06-22,topcv,Go,3
2026-06-22,topcv,HTML5,2
2026-06-22,topcv,Hiểu Biết Về Game Online,1
2026-06-22,topcv,Hiểu biết về BIM/CIM,1
2026-06-22,topcv,Hiểu biết về các phương pháp phát triển phần mềm,1
2026-06-22,topcv,Html,1
2026-06-22,topcv,IPS/IDS,1
2026-06-22,topcv,IT Infrastructure,1
2026-06-22,topcv,IT Project Management,1
2026-06-22,topcv,Infrastructure As Code (iac),1
2026-06-22,topcv,Java,5
2026-06-22,topcv,Java/Kotlin,1
2026-06-22,topcv,JavaScript,3
2026-06-22,topcv,Javascript,4
2026-06-22,topcv,Javascript),1
2026-06-22,topcv,Jetpack Compose,1
2026-06-22,topcv,Khả Năng Chịu Áp Lực,1
2026-06-22,topcv,Khả Năng Khắc Phục Sự Cố Phần Cứng,1
2026-06-22,topcv,Khả Năng Sửa Chữa Phần Cứng,1
2026-06-22,topcv,Khả năng giải quyết vấn đề,1
2026-06-22,topcv,Kinh Nghiệm Làm Việc Với Khách Hàng Nhật Bản,1
2026-06-22,topcv,Kinh nghiệm Autodesk APS,1
2026-06-22,topcv,Kinh nghiệm làm việc trên hệ thống kiểm soát lỗi phần mềm,1
2026-06-22,topcv,Kinh nghiệm làm việc với API,1
2026-06-22,topcv,Kinh nghiệm sử dụng AI,1
2026-06-22,topcv,Kiến Thức Ngành Xây Dựng,1
2026-06-22,topcv,Kiến Thức Về Bảo Mật Thông Tin,1
2026-06-22,topcv,Kiến Thức Về Mạng Máy Tính,1
2026-06-22,topcv,Kiến Thức Về Phần Cứng Và Phần Mềm Máy Tính,1
2026-06-22,topcv,Kiến Trúc Etl,1
2026-06-22,topcv,Kiến Trúc Microservices,1
2026-06-22,topcv,Kiến thức kiểm thử,1
2026-06-22,topcv,Kiểm thử VoIP/SIP,1
2026-06-22,topcv,Kiểm thử hệ thống nhúng,1
2026-06-22,topcv,Kiểm thử hệ thống thời gian thực,1
2026-06-22,topcv,Kiểm thử phần mềm,1
2026-06-22,topcv,Kiểm thử phần mềm web,1
2026-06-22,topcv,Kiểm thử thiết bị viễn thông,1
2026-06-22,topcv,Kiểm thử tự động,1
2026-06-22,topcv,Kotlin,1
2026-06-22,topcv,Kubernetes,1
2026-06-22,topcv,Kỹ Năng Đào Tạo Người Dùng,1
2026-06-22,topcv,Kỹ năng giao tiếp,2
2026-06-22,topcv,Kỹ năng làm việc nhóm,1
2026-06-22,topcv,LLM,2
2026-06-22,topcv,Linux,1
2026-06-22,topcv,Làm việc nhóm,1
2026-06-22,topcv,Lập Kế Hoạch Và Quản Lý Thời Gian,1
2026-06-22,topcv,Lập Trình Hướng Đối Tượng (oop),1
2026-06-22,topcv,Lập trình C#/.NET,1
2026-06-22,topcv,MS Project,1
2026-06-22,topcv,Message Queue,1
2026-06-22,topcv,Microservices,1
2026-06-22,topcv,Microservices Architecture,1
2026-06-22,topcv,Mobile Application penetration testing,1
2026-06-22,topcv,Modbus RTU/TCP,1
2026-06-22,topcv,MongoDB,2
2026-06-22,topcv,Monitoring And Logging,1
2026-06-22,topcv,MySQL,5
2026-06-22,topcv,Navisworks,1
2026-06-22,topcv,Nestjs,1
2026-06-22,topcv,NextJS,2
2026-06-22,topcv,Ngân hàng số,1
2026-06-22,topcv,Node.js,2
2026-06-22,topcv,Nosql),1
2026-06-22,topcv,Nắm vững quy trình kiểm thử phần mềm,1
2026-06-22,topcv,OSCP,1
2026-06-22,topcv,OWASP TOP 10,1
2026-06-22,topcv,Open Banking,1
2026-06-22,topcv,OpenAI API,1
2026-06-22,topcv,PHP,1
