week_start,source,skill,experience_count,experience_min_median,experience_min_min,experience_min_max
2026-06-01,itviec,SQL,52,3.5,0.0,7.0
2026-06-01,itviec,Scrum,3,5.0,2.0,5.0
2026-06-01,itviec,Security,4,4.0,2.0,6.0
2026-06-01,itviec,Selenium,3,2.0,2.0,2.0
2026-06-01,itviec,SoapUI,1,4.0,4.0,4.0
2026-06-01,itviec,Software Architecture,3,5.0,3.0,10.0
2026-06-01,itviec,Spring,4,5.0,1.0,5.0
2026-06-01,itviec,Spring Boot,3,5.0,5.0,5.0
2026-06-01,itviec,Stakeholder management,1,5.0,5.0,5.0
2026-06-01,itviec,Statistical Analysis,1,3.0,3.0,3.0
2026-06-01,itviec,Strategy planning,1,5.0,5.0,5.0
2026-06-01,itviec,Swift,1,2.0,2.0,2.0
2026-06-01,itviec,System Admin,3,2.0,2.0,5.0
2026-06-01,itviec,System Architecture,1,6.0,6.0,6.0
2026-06-01,itviec,Tableau,5,1.0,1.0,5.0
2026-06-01,itviec,Team Management,6,4.0,3.0,10.0
2026-06-01,itviec,Terraform,7,5.0,2.0,6.0
2026-06-01,itviec,Tester,13,3.0,0.0,5.0
2026-06-01,itviec,Twisted,1,2.0,2.0,2.0
2026-06-01,itviec,TypeScript,13,5.0,1.0,10.0
2026-06-01,itviec,UI-UX,1,4.0,4.0,4.0
2026-06-01,itviec,UML,1,3.0,3.0,3.0
2026-06-01,itviec,Unix,1,5.0,5.0,5.0
2026-06-01,itviec,User story,1,5.0,5.0,5.0
2026-06-01,itviec,VMware,1,3.0,3.0,3.0
2026-06-01,itviec,Vue,8,2.0,1.0,5.0
2026-06-01,itviec,VueJS,4,4.5,3.0,5.0
2026-06-01,itviec,Waterfall Methodology,1,5.0,5.0,5.0
2026-06-01,itviec,Wireframing,1,3.0,3.0,3.0
2026-06-01,itviec,Wordpress,2,1.5,1.0,2.0
2026-06-01,itviec,iOS,6,2.0,0.0,6.0
2026-06-01,topcv,(unknown),13,3.0,0.0,4.0
2026-06-01,topcv,AI solutions,2,3.0,3.0,3.0
2026-06-01,topcv,ARM,1,2.0,2.0,2.0
2026-06-01,topcv,AVR),1,2.0,2.0,2.0
2026-06-01,topcv,AWS,1,3.0,3.0,3.0
2026-06-01,topcv,Adjust,1,2.0,2.0,2.0
2026-06-01,topcv,Agile Scrum Master,1,5.0,5.0,5.0
2026-06-01,topcv,Amazon,1,2.0,2.0,2.0
2026-06-01,topcv,Appium,1,3.0,3.0,3.0
2026-06-01,topcv,Appsumer,1,2.0,2.0,2.0
2026-06-01,topcv,Artificial Intelligence,2,3.0,3.0,3.0
2026-06-01,topcv,AutoCAD,1,0.0,0.0,0.0
2026-06-01,topcv,B2B Sales,2,3.0,3.0,3.0
2026-06-01,topcv,Bán Hàng,3,3.0,1.0,3.0
2026-06-01,topcv,Bảo Mật,1,5.0,5.0,5.0
2026-06-01,topcv,C#,1,3.0,3.0,3.0
2026-06-01,topcv,CI/CD,2,2.0,2.0,2.0
2026-06-01,topcv,Clean Architecture,1,2.0,2.0,2.0
2026-06-01,topcv,Concurrency,1,2.0,2.0,2.0
2026-06-01,topcv,Công Nghệ Thông Tin,1,2.0,2.0,2.0
2026-06-01,topcv,Cơ sở hạ tầng,1,5.0,5.0,5.0
2026-06-01,topcv,Docker,3,2.0,1.0,3.0
