week_start,source,skill,salary_currency,salary_count,salary_midpoint_median,salary_midpoint_min,salary_midpoint_max
2026-06-01,itviec,Mobile Apps,USD,1,1200,1200,1200
2026-06-01,itviec,MySQL,USD,2,1850,1200,2500
2026-06-01,itviec,MySQL,VND,1,60000000,60000000,60000000
2026-06-01,itviec,NestJS,USD,1,3000,3000,3000
2026-06-01,itviec,Networking,USD,1,350,350,350
2026-06-01,itviec,NextJS,USD,1,1600,1600,1600
2026-06-01,itviec,NoSQL,USD,1,2000,2000,2000
2026-06-01,itviec,NoSQL,VND,1,30000000,30000000,30000000
2026-06-01,itviec,Node.js,USD,6,2475,1600,7000
2026-06-01,itviec,Node.js,VND,2,45000000,30000000,60000000
2026-06-01,itviec,OOP,USD,2,1375,500,2250
2026-06-01,itviec,PHP,USD,1,1200,1200,1200
2026-06-01,itviec,Playwright,VND,1,20000000,20000000,20000000
2026-06-01,itviec,PostgreSQL,USD,6,2225,1600,3300
2026-06-01,itviec,PostgreSQL,VND,1,60000000,60000000,60000000
2026-06-01,itviec,PostgreSQL,unknown,1,40000000,40000000,40000000
2026-06-01,itviec,Postman,USD,1,1300,1300,1300
2026-06-01,itviec,Postman,VND,1,20000000,20000000,20000000
2026-06-01,itviec,Power Automate,USD,1,1050,1050,1050
2026-06-01,itviec,Power BI,unknown,1,37500000,37500000,37500000
2026-06-01,itviec,Presale,USD,1,300,300,300
2026-06-01,itviec,Product Design,USD,1,1050,1050,1050
2026-06-01,itviec,Product strategy,USD,1,1050,1050,1050
2026-06-01,itviec,Project Management,VND,1,16500000,16500000,16500000
2026-06-01,itviec,Python,USD,15,1500,300,3250
2026-06-01,itviec,Python,VND,1,60000000,60000000,60000000
2026-06-01,itviec,Python,unknown,1,37500000,37500000,37500000
2026-06-01,itviec,QA,USD,2,1400,1300,1500
2026-06-01,itviec,QA QC,USD,4,1400,350,1500
2026-06-01,itviec,QA QC,VND,1,20000000,20000000,20000000
2026-06-01,itviec,QlikView,unknown,1,37500000,37500000,37500000
2026-06-01,itviec,React,USD,5,1950,1250,3250
2026-06-01,itviec,React,VND,2,45000000,30000000,60000000
2026-06-01,itviec,React,unknown,1,40000000,40000000,40000000
2026-06-01,itviec,Redis,USD,1,2000,2000,2000
2026-06-01,itviec,Redis,VND,1,60000000,60000000,60000000
2026-06-01,itviec,Redis,unknown,1,40000000,40000000,40000000
2026-06-01,itviec,Risk & Compliance,VND,1,20000000,20000000,20000000
2026-06-01,itviec,Risk Management,VND,1,20000000,20000000,20000000
2026-06-01,itviec,Robotic Process Automation (RPA),USD,1,350,350,350
2026-06-01,itviec,Rust,USD,1,1950,1950,1950
2026-06-01,itviec,SIEM,USD,1,1500,1500,1500
2026-06-01,itviec,SQL,USD,18,1975,500,3300
2026-06-01,itviec,SQL,VND,2,35000000,20000000,50000000
2026-06-01,itviec,SQL,unknown,2,38750000,37500000,40000000
2026-06-01,itviec,Scrum,USD,1,350,350,350
2026-06-01,itviec,Security,USD,3,1350,350,1500
2026-06-01,itviec,SoapUI,USD,1,1300,1300,1300
2026-06-01,itviec,Software Architecture,USD,2,5000,3000,7000
2026-06-01,itviec,Spark,USD,2,1699,1699,1699
2026-06-01,itviec,Spring,USD,3,1600,500,2250
2026-06-01,itviec,Spring Boot,USD,1,1600,1600,1600
2026-06-01,itviec,System Admin,USD,1,350,350,350
2026-06-01,itviec,Tableau,USD,2,1699,1699,1699
2026-06-01,itviec,Tableau,unknown,1,37500000,37500000,37500000
2026-06-01,itviec,Team Management,USD,1,1500,1500,1500
2026-06-01,itviec,Team Management,VND,1,60000000,60000000,60000000
2026-06-01,itviec,Terraform,USD,3,3000,1500,4000
2026-06-01,itviec,Tester,USD,3,1500,1300,1500
2026-06-01,itviec,Tester,VND,1,20000000,20000000,20000000
2026-06-01,itviec,Twisted,USD,1,1100,1100,1100
2026-06-01,itviec,TypeScript,USD,6,1950,1200,7000
2026-06-01,itviec,UI-UX,USD,1,1600,1600,1600
2026-06-01,itviec,VMware,USD,1,1350,1350,1350
2026-06-01,itviec,Vue,USD,1,1250,1250,1250
2026-06-01,itviec,VueJS,USD,1,1250,1250,1250
2026-06-01,itviec,VueJS,unknown,1,40000000,40000000,40000000
2026-06-01,itviec,iOS,USD,1,1200,1200,1200
2026-06-01,topcv,(unknown),VND,9,17500000,9500000,30000000
2026-06-01,topcv,AI solutions,VND,2,32500000,32500000,32500000
2026-06-01,topcv,AI trong kiểm thử,VND,1,22500000,22500000,22500000
2026-06-01,topcv,AMPQ,VND,2,17500000,17500000,17500000
2026-06-01,topcv,API Testing,VND,1,22500000,22500000,22500000
2026-06-01,topcv,ARM,VND,1,18500000,18500000,18500000
2026-06-01,topcv,AVR),VND,1,18500000,18500000,18500000
2026-06-01,topcv,AWS,VND,2,17500000,17500000,17500000
2026-06-01,topcv,Agile,VND,2,17500000,17500000,17500000
2026-06-01,topcv,Amazon,VND,1,30000000,30000000,30000000
2026-06-01,topcv,Artificial Intelligence,VND,2,32500000,32500000,32500000
2026-06-01,topcv,AutoCAD,VND,1,10500000,10500000,10500000
2026-06-01,topcv,Automation Testing,VND,1,22500000,22500000,22500000
2026-06-01,topcv,Automation test framework,VND,1,22500000,22500000,22500000
2026-06-01,topcv,B2B Sales,VND,2,32500000,32500000,32500000
2026-06-01,topcv,Bán Hàng,VND,3,32500000,25000000,32500000
2026-06-01,topcv,C#,VND,2,17500000,17500000,17500000
2026-06-01,topcv,CI/CD,VND,2,31250000,22500000,40000000
2026-06-01,topcv,Concurrency,VND,1,40000000,40000000,40000000
2026-06-01,topcv,Công Nghệ Thông Tin,VND,1,11500000,11500000,11500000
2026-06-01,topcv,Devops,VND,3,17500000,17500000,22500000
2026-06-01,topcv,Docker,VND,4,20000000,17500000,40000000
2026-06-01,topcv,Embedded,VND,1,18500000,18500000,18500000
2026-06-01,topcv,Enterprise sales,VND,2,32500000,32500000,32500000
2026-06-01,topcv,Excel,VND,1,18500000,18500000,18500000
2026-06-01,topcv,Fabricjs,VND,1,30000000,30000000,30000000
2026-06-01,topcv,Fast API,VND,2,17500000,17500000,17500000
2026-06-01,topcv,Figma,VND,2,16000000,16000000,16000000
2026-06-01,topcv,Flutter,VND,1,40000000,40000000,40000000
2026-06-01,topcv,Gamification,VND,2,16000000,16000000,16000000
2026-06-01,topcv,Gherkin (Cucumber),VND,1,22500000,22500000,22500000
2026-06-01,topcv,Giao tiếp,VND,5,22500000,14500000,25000000
2026-06-01,topcv,Giao tiếp tốt,VND,2,32500000,32500000,32500000
2026-06-01,topcv,Git,VND,3,17500000,17500000,18500000
2026-06-01,topcv,Giáo Dục,VND,1,11500000,11500000,11500000
2026-06-01,topcv,Giải pháp B2B,VND,2,32500000,32500000,32500000
2026-06-01,topcv,Global planning,VND,1,18500000,18500000,18500000
2026-06-01,topcv,Google Cloud Platform,VND,2,17500000,17500000,17500000
2026-06-01,topcv,Hiểu Biết Sâu Rộng Về Công Nghệ Thông Tin,VND,1,25000000,25000000,25000000
2026-06-01,topcv,Hiểu biết SDLC,VND,1,11500000,11500000,11500000
2026-06-01,topcv,Hiểu biết STLC,VND,1,11500000,11500000,11500000
2026-06-01,topcv,ISTQB Foundation,VND,1,11500000,11500000,11500000
